HDI_rank,HDI_category,Country,1975,1980,1985,1990,1995,2000,2005
111,MEDIUM,Moldova,,0.700,0.722,0.740,0.684,0.683,0.708
112,MEDIUM,Egypt,0.434,0.482,0.532,0.575,0.613,0.659,0.708
113,MEDIUM,Uzbekistan,,,,0.704,0.683,0.691,0.7020000000000001
114,MEDIUM,Mongolia,,,0.637,0.654,0.638,0.667,0.7
115,MEDIUM,Honduras,0.528,0.578,0.611,0.634,0.653,0.668,0.7
116,MEDIUM,Kyrgyzstan,,,,,,,0.696
117,MEDIUM,Bolivia,0.519,0.553,0.580,0.606,0.639,0.677,0.695
118,MEDIUM,Guatemala,0.514,0.550,0.566,0.592,0.626,0.667,0.6890000000000001
119,MEDIUM,Gabon,,,,,,,0.677
120,MEDIUM,Vanuatu,,,,,,,0.674
121,MEDIUM,South Africa,0.650,0.670,0.699,0.731,0.745,0.707,0.674
122,MEDIUM,Tajikistan,,,0.705,0.703,0.638,0.640,0.6729999999999999
123,MEDIUM,Sao Tome and Principe,,,,,,,0.654
124,MEDIUM,Botswana,0.509,0.571,0.624,0.674,0.658,0.631,0.654
125,MEDIUM,Namibia,,,,,0.698,0.657,0.65
126,MEDIUM,Morocco,0.435,0.483,0.519,0.551,0.581,0.613,0.6459999999999999
127,MEDIUM,Equatorial Guinea,,,0.484,0.505,0.529,0.606,0.642
128,MEDIUM,India,0.419,0.450,0.487,0.521,0.551,0.578,0.619
129,MEDIUM,Solomon Islands,,,,,,,0.602
130,MEDIUM,Lao People's Democratic Republic,,,0.448,0.478,0.524,0.563,0.601
131,MEDIUM,Cambodia,,,,,0.540,0.547,0.598
132,MEDIUM,Myanmar,,,,,,,0.583
133,MEDIUM,Bhutan,,,,,,,0.579
134,MEDIUM,Comoros,,0.483,0.500,0.506,0.521,0.540,0.561
135,MEDIUM,Ghana,0.442,0.471,0.486,0.517,0.542,0.568,0.5529999999999999
136,MEDIUM,Pakistan,0.367,0.394,0.427,0.467,0.497,0.516,0.551
137,MEDIUM,Mauritania,0.383,0.410,0.435,0.455,0.487,0.509,0.55
138,MEDIUM,Lesotho,0.499,0.541,0.571,0.605,0.616,0.581,0.5489999999999999
139,MEDIUM,Congo,0.478,0.520,0.567,0.559,0.546,0.518,0.5479999999999999
140,MEDIUM,Bangladesh,0.347,0.365,0.392,0.422,0.453,0.511,0.547
141,MEDIUM,Swaziland,0.527,0.561,0.588,0.633,0.641,0.592,0.547
142,MEDIUM,Nepal,0.301,0.338,0.380,0.427,0.469,0.502,0.534
143,MEDIUM,Madagascar,0.407,0.444,0.440,0.450,0.463,0.493,0.5329999999999999
144,MEDIUM,Cameroon,0.422,0.468,0.523,0.529,0.513,0.525,0.532
145,MEDIUM,Papua New Guinea,0.431,0.462,0.481,0.495,0.532,0.544,0.53
146,MEDIUM,Haiti,,0.442,0.462,0.472,0.487,,0.529
147,MEDIUM,Sudan,0.354,0.381,0.400,0.429,0.463,0.491,0.526
148,MEDIUM,Kenya,0.466,0.514,0.534,0.556,0.544,0.529,0.521
149,MEDIUM,Djibouti,,,,0.476,0.485,0.490,0.516
150,MEDIUM,Timor-Leste,,,,,,,0.514
151,MEDIUM,Zimbabwe,0.550,0.579,0.645,0.654,0.613,0.541,0.513
152,MEDIUM,Togo,0.423,0.473,0.469,0.496,0.514,0.521,0.512
153,MEDIUM,Yemen,,,,0.402,0.439,0.473,0.508
154,MEDIUM,Uganda,,,0.420,0.434,0.433,0.480,0.505
155,MEDIUM,Gambia,0.290,,,,0.436,0.472,0.502
156,LOW,Senegal,0.342,0.367,0.401,0.428,0.449,0.473,0.499
157,LOW,Eritrea,,,,,0.435,0.459,0.483
158,LOW,Nigeria,0.321,0.378,0.391,0.411,0.432,0.445,0.47
159,LOW,Tanzania (United Republic of),,,,0.421,0.419,0.433,0.467
160,LOW,Guinea,,,,,,,0.456
161,LOW,Rwanda,0.337,0.385,0.403,0.340,0.330,0.418,0.452
162,LOW,Angola,,,,,,,0.446
163,LOW,Benin,0.312,0.344,0.367,0.374,0.403,0.424,0.43700000000000006
164,LOW,Malawi,0.330,0.355,0.370,0.388,0.444,0.431,0.43700000000000006
165,LOW,Zambia,0.470,0.478,0.489,0.477,0.439,0.420,0.434
166,LOW,Côte d'Ivoire,0.419,0.448,0.453,0.450,0.436,0.432,0.43200000000000005
167,LOW,Burundi,0.290,0.318,0.352,0.366,0.347,0.368,0.413
168,LOW,Congo (Democratic Republic of the),0.414,0.423,0.430,0.423,0.391,0.375,0.41100000000000003
169,LOW,Ethiopia,,,0.311,0.332,0.347,0.379,0.406
170,LOW,Chad,0.296,0.298,0.342,0.364,0.377,0.397,0.38799999999999996
171,LOW,Central African Republic,0.350,0.371,0.394,0.398,0.390,0.394,0.384
172,LOW,Mozambique,,0.304,0.291,0.317,0.335,0.375,0.384
173,LOW,Mali,0.245,0.268,0.272,0.296,0.321,0.352,0.38
174,LOW,Niger,0.246,0.264,0.261,0.279,0.296,0.321,0.374
175,LOW,Guinea-Bissau,0.267,0.271,0.300,0.322,0.350,0.365,0.374
176,LOW,Burkina Faso,0.257,0.280,0.305,0.321,0.337,0.353,0.37
177,LOW,Sierra Leone,,,,,,,0.336
